===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-07-25 08:19:20
count workspace : /Users/e2/Desktop/react-mvp
total files : 89
total code lines : 16487
total comment lines : 125
total blank lines : 364

.gitignore, code is 18, comment is 1, blank is 5.
cypress.json, code is 1, comment is 0, blank is 0.
cypress/fixtures/example.json, code is 5, comment is 0, blank is 0.
cypress/integration/taskadd_spec.js, code is 47, comment is 0, blank is 3.
cypress/plugins/index.js, code is 2, comment is 13, blank is 2.
cypress/support/commands.js, code is 0, comment is 25, blank is 0.
cypress/support/index.js, code is 1, comment is 17, blank is 2.
package-lock.json, code is 13779, comment is 0, blank is 0.
package.json, code is 36, comment is 0, blank is 2.
public/favicon.ico, it is a binary file.
public/index.html, code is 15, comment is 23, blank is 0.
public/manifest.json, code is 15, comment is 0, blank is 0.
README.md, code is 1, comment is 0, blank is 0.
Screenshot 2019-06-25 at 11.16.03.png, it is a binary file.
src/App.css, code is 15, comment is 0, blank is 3.
src/App.js, code is 17, comment is 0, blank is 2.
src/App.test.js, code is 8, comment is 0, blank is 1.
src/assets/addButton.svg, code is 1, comment is 0, blank is 0.
src/assets/noNewTasks.svg, code is 1, comment is 0, blank is 0.
src/assets/notification.svg, code is 1, comment is 0, blank is 0.
src/assets/notificationAlarm.svg, code is 1, comment is 0, blank is 0.
src/assets/scheduleComplete.svg, code is 1, comment is 0, blank is 0.
src/assets/schedulePending.svg, code is 1, comment is 0, blank is 0.
src/components/Calendar/Calendar.js, code is 13, comment is 0, blank is 4.
src/components/Calendar/Calendar.module.css, code is 11, comment is 0, blank is 3.
src/components/Calendar/DayDate/DayDate.js, code is 48, comment is 0, blank is 6.
src/components/Calendar/DayDate/DayDate.module.css, code is 26, comment is 0, blank is 6.
src/components/Calendar/Hours/Hour/Hour.js, code is 8, comment is 0, blank is 2.
src/components/Calendar/Hours/Hour/Hour.module.css, code is 6, comment is 0, blank is 0.
src/components/Calendar/Hours/Hours.js, code is 17, comment is 0, blank is 2.
src/components/Calendar/Hours/Hours.module.css, code is 8, comment is 0, blank is 4.
src/components/Calendar/RowHeaders/RowHeaders.js, code is 14, comment is 0, blank is 3.
src/components/Calendar/RowHeaders/RowHeaders.module.css, code is 13, comment is 0, blank is 11.
src/components/Calendar/WeeklyGrid/WeeklyGrid.js, code is 144, comment is 0, blank is 11.
src/components/Calendar/WeeklyGrid/WeeklyGrid.module.css, code is 62, comment is 0, blank is 4.
src/components/Footer/AddButton/AddButton.js, code is 9, comment is 0, blank is 4.
src/components/Footer/AddButton/AddButton.module.css, code is 26, comment is 0, blank is 8.
src/components/Footer/Footer.js, code is 9, comment is 0, blank is 6.
src/components/Footer/Footer.module.css, code is 9, comment is 0, blank is 2.
src/components/Logo/Logo.js, code is 8, comment is 0, blank is 3.
src/components/Logo/Logo.module.css, code is 8, comment is 0, blank is 4.
src/components/Notification/Notification.js, code is 41, comment is 0, blank is 3.
src/components/Notification/Notification.module.css, code is 3, comment is 0, blank is 1.
src/components/Resource/Resource.js, code is 16, comment is 0, blank is 6.
src/components/Resource/Resource.module.css, code is 26, comment is 0, blank is 7.
src/components/Resource/ResourceName/ResourceName.js, code is 9, comment is 0, blank is 6.
src/components/Resource/ResourceName/ResourceName.module.css, code is 22, comment is 0, blank is 8.
src/components/Schedule/Schedule.js, code is 143, comment is 0, blank is 15.
src/components/Schedule/Schedule.module.css, code is 2, comment is 0, blank is 0.
src/components/Task/Task.js, code is 43, comment is 0, blank is 5.
src/components/Task/Task.module.css, code is 10, comment is 0, blank is 2.
src/components/Task/TaskAdd/TaskAdd.js, code is 177, comment is 6, blank is 13.
src/components/Task/TaskAdd/TaskAdd.module.css, code is 120, comment is 0, blank is 16.
src/components/Task/TaskDetail/TaskDetail.js, code is 73, comment is 0, blank is 6.
src/components/Task/TaskDetail/TaskDetail.module.css, code is 62, comment is 0, blank is 9.
src/components/UI/Backdrop/Backdrop.js, code is 5, comment is 0, blank is 2.
src/components/UI/Backdrop/Backdrop.module.css, code is 9, comment is 0, blank is 0.
src/components/UI/Button/Button.js, code is 11, comment is 0, blank is 2.
src/components/UI/Button/Button.module.css, code is 9, comment is 0, blank is 0.
src/components/UI/Modal/Modal.js, code is 22, comment is 0, blank is 5.
src/components/UI/Modal/Modal.module.css, code is 25, comment is 0, blank is 2.
src/components/UnscheduledTaskList/UnscheduledTaskList.js, code is 66, comment is 0, blank is 5.
src/components/UnscheduledTaskList/UnscheduledTaskList.module.css, code is 38, comment is 0, blank is 7.
src/containers/Auth/Auth.js, code is 13, comment is 1, blank is 6.
src/containers/Auth/Auth.module.css, code is 8, comment is 0, blank is 1.
src/containers/Header/Header.js, code is 68, comment is 0, blank is 8.
src/containers/Header/Header.module.css, code is 38, comment is 1, blank is 6.
src/containers/Layout/Layout.js, code is 71, comment is 0, blank is 4.
src/containers/Resources/Resources.js, code is 58, comment is 0, blank is 9.
src/containers/Resources/Resources.module.css, code is 12, comment is 0, blank is 2.
src/containers/Scheduler/Scheduler.js, code is 53, comment is 0, blank is 7.
src/containers/TaskNew/TaskNew.js, code is 45, comment is 0, blank is 7.
src/containers/UnscheduledTasks/UnscheduledTasks.js, code is 44, comment is 0, blank is 6.
src/index.css, code is 12, comment is 0, blank is 1.
src/index.js, code is 37, comment is 4, blank is 6.
src/serviceWorker.js, code is 89, comment is 31, blank is 15.
src/store/actions/actionTypes.js, code is 25, comment is 0, blank is 9.
src/store/actions/client.js, code is 37, comment is 3, blank is 4.
src/store/actions/index.js, code is 18, comment is 0, blank is 2.
src/store/actions/resource.js, code is 141, comment is 0, blank is 9.
src/store/actions/task.js, code is 167, comment is 0, blank is 22.
src/store/reducers/client.js, code is 25, comment is 0, blank is 3.
src/store/reducers/resource.js, code is 35, comment is 0, blank is 3.
src/store/reducers/task.js, code is 115, comment is 0, blank is 4.
src/store/utility/utility.js, code is 6, comment is 0, blank is 0.
src/utils/Repository.js, code is 6, comment is 0, blank is 2.
src/utils/RepositoryFactory.js, code is 9, comment is 0, blank is 2.
src/utils/resourceRepository.js, code is 12, comment is 0, blank is 1.
src/utils/taskRepository.js, code is 6, comment is 0, blank is 2.
===============================================================================
